"publisher","oa_status","apc_year","sum","APCable","avgAPC"
"ACS","Gold OA",2019,2140750,2779,770.331054336092
"ACS","Gold OA",2020,2653000,3688,719.360086767896
"ACS","Gold OA",2021,6242500,4033,1547.85519464419
"ACS","Gold OA",2022,8100000,5022,1612.90322580645
"ACS","Gold OA",2023,10329050,5069,2037.68987966068
"ACS","Gold OA",2024,11679385,5440,2146.94577205882
"ACS","Gold OA",2025,12671545,6500,1949.46846153846
"ACS","Hybrid OA",2019,8850000,1772,4994.35665914221
"ACS","Hybrid OA",2020,17290000,3458,5000
"ACS","Hybrid OA",2021,21780000,4356,5000
"ACS","Hybrid OA",2022,28615000,5723,5000
"ACS","Hybrid OA",2023,43720000,8744,5000
"ACS","Hybrid OA",2024,49437000,10986,4500
"ACS","Hybrid OA",2025,58176000,12928,4500
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2019,2061851.896597,1369,1506.10072797443
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2020,3399219.681498,1971,1724.61678411872
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2021,4302132.928892,2471,1741.04934394658
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2022,5974094,2919,2046.62350119904
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2023,8326550,3692,2255.29523293608
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2024,14750330,5193,2840.42557288658
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Gold OA",2025,32976803,10244,3219.1334439672
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2019,6036913.662665,2179,2770.49732109454
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2020,12259908.02,4178,2934.39636668262
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2021,17261124,5482,3148.69098869026
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2022,24086462,7576,3179.31124604013
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2023,29155940,9056,3219.51634275618
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2024,28403788,8267,3435.80355630821
"CAMBRIDGE_UNIVERSITY_PRESS_-_CUP","Hybrid OA",2025,23114353,6518,3546.23396747469
"DE_GRUYTER","Gold OA",2021,4243021.8964818,3120,1359.94291553904
"DE_GRUYTER","Gold OA",2022,3999037.7430148,3783,1057.10751863992
"DE_GRUYTER","Gold OA",2023,4771564.5758264,4060,1175.26221079468
"DE_GRUYTER","Gold OA",2024,5801387.1600842,6481,895.137657781855
"DE_GRUYTER","Gold OA",2025,6195132.4899591,7336,844.483709100204
"DE_GRUYTER","Hybrid OA",2021,3722405.714027,1639,2271.14442588591
"DE_GRUYTER","Hybrid OA",2022,3304558.407744,1648,2005.19320858252
"DE_GRUYTER","Hybrid OA",2023,3896846.852832,1806,2157.72250987375
"DE_GRUYTER","Hybrid OA",2024,4185344.392785,1800,2325.191329325
"DE_GRUYTER","Hybrid OA",2025,3916676.758988,1526,2566.62959304587
"EDP","Gold OA",2019,529122.174212,670,789.734588376119
"EDP","Gold OA",2020,788109.0871266,905,870.838770305635
"EDP","Gold OA",2021,362081.827293,1023,353.94118014956
"EDP","Gold OA",2022,3636448.0481981,3358,1082.92080053547
"EDP","Gold OA",2023,4197845.9189406,3672,1143.20422629101
"EDP","Gold OA",2024,5692778.6862447,4399,1294.10745311314
"EDP","Gold OA",2025,7977797.6500683,5373,1484.79390472144
"EDP","Hybrid OA",2019,1264406.025264,781,1618.95777882714
"EDP","Hybrid OA",2020,2315570.006012,842,2750.08314253207
"EDP","Hybrid OA",2021,2196515.17557,724,3033.86073973757
"EDP","Hybrid OA",2022,313767.573771,212,1480.03572533491
"EDP","Hybrid OA",2023,278996.607422,186,1499.98176033333
"EDP","Hybrid OA",2024,422166.036113,228,1851.60542154825
"EDP","Hybrid OA",2025,420079.85675,210,2000.3802702381
"EDP","unknown",2019,1679.752934,1,1679.752934
"EDP","unknown",2020,1712.784165,1,1712.784165
"ELSEVIER","Gold OA",2019,52727553,27144,1942.51226790451
"ELSEVIER","Gold OA",2020,79015638.5742279,42377,1864.58783241447
"ELSEVIER","Gold OA",2021,140704322.723992,85608,1643.58848149696
"ELSEVIER","Gold OA",2022,186843540.458932,101546,1839.98917199035
"ELSEVIER","Gold OA",2023,256214505.753868,130356,1965.49837179622
"ELSEVIER","Gold OA",2024,331449726.633494,161771,2048.88222631679
"ELSEVIER","Gold OA",2025,449751730.69082,203918,2205.55189189194
"ELSEVIER","Hybrid OA",2019,58177609,20168,2884.64939508132
"ELSEVIER","Hybrid OA",2020,89724195.920522,31713,2829.25601237732
"ELSEVIER","Hybrid OA",2021,138892929.471913,43956,3159.81730530333
"ELSEVIER","Hybrid OA",2022,180745728.445562,54385,3323.44816485358
"ELSEVIER","Hybrid OA",2023,291865470.265649,82793,3525.24332088038
"ELSEVIER","Hybrid OA",2024,421387654.101184,116004,3632.5269309781
"ELSEVIER","Hybrid OA",2025,553373372.066771,140369,3942.2762295576
"ELSEVIER","unknown",2021,5000,33,151.515151515152
"ELSEVIER","unknown",2022,0,1267,0
"ELSEVIER","unknown",2023,0,892,0
